iter	Passed	Remaining
0	56	56867
1	57	28557
2	57	19121
3	57	14411
4	58	11578
5	58	9689
6	58	8342
7	59	7346
8	59	6595
9	60	5970
10	60	5448
11	60	5019
12	61	4665
13	61	4348
14	62	4074
15	62	3834
16	62	3621
17	63	3444
18	63	3275
19	63	3128
20	64	2991
21	64	2868
22	64	2755
23	65	2660
24	65	2563
25	66	2484
26	66	2400
27	66	2323
28	67	2251
29	67	2184
30	67	2121
31	68	2064
32	68	2014
33	69	1970
34	69	1920
35	69	1872
36	70	1828
37	70	1787
38	70	1747
39	71	1711
40	71	1674
41	71	1640
42	72	1607
43	72	1577
44	72	1547
45	73	1520
46	73	1492
47	73	1465
48	74	1445
49	74	1420
50	75	1398
51	75	1375
52	75	1356
53	76	1336
54	76	1315
55	77	1300
56	77	1281
57	77	1262
58	78	1244
59	78	1227
60	78	1210
61	78	1194
62	79	1179
63	79	1165
64	79	1150
65	80	1136
66	80	1123
67	80	1109
68	81	1095
69	81	1082
70	81	1069
71	82	1060
72	82	1049
73	82	1037
74	83	1026
75	83	1016
76	83	1005
77	84	994
78	84	983
79	84	973
80	84	963
81	85	952
82	85	941
83	85	931
84	85	922
85	85	913
86	86	904
87	86	895
88	86	886
89	86	878
90	87	870
91	87	861
92	87	854
93	87	846
94	88	838
95	88	831
96	88	823
97	88	816
98	88	809
99	89	803
100	89	796
101	89	789
102	89	783
103	90	776
104	90	770
105	90	764
106	90	758
107	91	752
108	91	746
109	91	740
110	91	735
111	92	729
112	92	723
113	92	718
114	92	713
115	92	707
116	93	702
117	93	697
118	93	692
119	93	687
120	93	682
121	94	677
122	94	672
123	94	667
124	94	663
125	95	658
126	95	654
127	95	649
128	95	645
129	95	641
130	96	637
131	96	633
132	96	629
133	96	625
134	96	621
135	97	617
136	97	613
137	97	610
138	97	606
139	98	602
140	98	599
141	98	595
142	98	591
143	98	588
144	99	584
145	99	581
146	99	578
147	99	575
148	100	572
149	100	568
150	100	565
151	100	562
152	101	559
153	101	556
154	101	553
155	101	550
156	102	547
157	102	545
158	102	542
159	102	539
160	102	536
161	103	533
162	103	530
163	103	528
164	103	525
165	104	522
166	104	520
167	104	517
168	104	515
169	104	512
170	105	510
171	105	507
172	105	505
173	105	502
174	106	500
175	106	498
176	106	495
177	106	493
178	107	491
179	107	489
180	107	486
181	107	484
182	108	482
183	108	480
184	108	478
185	108	476
186	109	474
187	109	471
188	109	470
189	109	468
190	110	466
191	110	463
192	110	461
193	110	459
194	110	458
195	111	456
196	111	454
197	111	452
198	111	450
199	112	448
200	112	446
201	112	445
202	112	443
203	113	441
204	113	439
205	113	437
206	113	436
207	114	434
208	114	432
209	114	430
210	114	429
211	115	427
212	115	426
213	115	424
214	115	422
215	116	421
216	116	419
217	116	418
218	116	416
219	117	414
220	117	413
221	117	411
222	117	410
223	118	408
224	118	407
225	118	405
226	118	404
227	118	402
228	119	401
229	119	399
230	119	398
231	119	396
232	120	395
233	120	393
234	120	392
235	120	391
236	121	389
237	121	388
238	121	386
239	121	385
240	121	384
241	122	382
242	122	381
243	122	380
244	122	378
245	123	377
