iter	Passed	Remaining
0	57	57868
1	58	29085
2	58	19472
3	58	14669
4	59	11786
5	59	9862
6	59	8497
7	60	7485
8	60	6688
9	61	6053
10	61	5537
11	62	5105
12	62	4729
13	62	4405
14	62	4125
15	63	3879
16	63	3662
17	63	3469
18	63	3297
19	64	3141
20	64	3000
21	64	2872
22	64	2757
23	65	2650
24	65	2551
25	65	2460
26	65	2375
27	66	2295
28	66	2222
29	66	2154
30	66	2090
31	67	2030
32	67	1974
33	67	1921
34	67	1871
35	68	1824
36	68	1780
37	68	1738
38	68	1698
39	69	1660
40	69	1624
41	69	1589
42	69	1556
43	70	1526
44	70	1496
45	70	1467
46	71	1439
47	71	1412
48	71	1387
49	71	1362
50	71	1339
51	72	1317
52	72	1295
53	72	1273
54	72	1254
55	73	1234
56	73	1215
57	73	1196
58	73	1178
59	74	1161
60	74	1145
61	74	1129
62	74	1113
63	75	1098
64	75	1084
65	75	1070
66	75	1057
67	76	1045
68	76	1032
69	76	1020
70	77	1008
71	77	997
72	77	986
73	77	974
74	78	963
75	78	952
76	78	942
77	78	932
78	79	921
79	79	911
80	79	902
81	79	892
82	79	882
83	80	873
84	80	864
85	80	856
86	80	847
87	80	839
88	81	831
89	81	823
90	81	816
91	81	808
92	82	801
93	82	794
94	82	787
95	82	780
96	83	773
97	83	767
98	83	760
99	83	754
100	84	748
101	84	742
102	84	736
103	84	731
104	85	725
105	85	719
106	85	714
107	85	708
108	86	703
109	86	698
110	86	692
111	86	687
112	87	683
113	87	678
114	87	673
115	87	668
116	87	663
117	88	658
118	88	654
119	88	649
120	88	645
121	88	640
122	89	636
123	89	632
124	90	630
125	90	627
126	90	623
127	90	619
128	91	616
129	91	612
130	91	609
131	92	605
132	92	601
133	92	598
134	92	594
135	93	590
136	93	587
137	93	584
138	93	580
139	93	577
140	94	574
141	94	570
142	94	566
143	94	563
144	95	560
145	95	557
146	95	554
147	95	551
148	95	548
149	96	545
150	96	542
151	96	539
152	96	536
153	97	533
154	97	531
155	97	528
156	97	525
157	98	523
158	98	520
159	98	517
160	98	514
161	99	512
162	99	509
163	99	507
164	99	504
165	100	502
166	100	499
167	100	497
168	100	495
169	100	493
170	101	490
171	101	488
172	101	486
173	101	483
174	102	481
175	102	479
176	102	477
177	102	475
178	103	473
179	103	471
180	103	469
181	103	467
182	104	465
183	104	463
184	104	461
185	104	459
186	105	457
187	105	455
188	105	453
189	105	451
190	106	449
191	106	448
192	106	446
193	107	445
194	107	443
195	107	441
196	108	440
197	108	438
198	108	436
199	108	434
200	108	433
201	109	431
202	109	429
203	109	427
204	109	426
205	110	424
206	110	422
207	110	421
208	110	419
209	111	417
210	111	416
211	111	414
212	111	412
213	112	411
214	112	409
215	112	408
216	112	406
217	112	405
218	113	403
219	113	402
220	113	400
221	113	399
222	114	397
223	114	396
224	114	395
225	114	393
226	115	392
227	115	391
228	115	389
229	116	388
230	116	387
231	116	385
232	116	384
233	117	383
234	117	381
235	117	380
236	117	378
237	117	377
238	118	376
239	118	374
240	118	373
241	118	372
242	119	370
243	119	369
244	119	368
245	119	367
246	120	365
247	120	364
248	120	363
249	120	362
250	120	360
251	121	359
252	121	358
253	121	357
254	121	356
255	122	355
256	122	354
257	122	353
258	123	352
259	123	351
260	123	350
261	123	349
262	124	347
263	124	346
264	124	345
265	124	344
266	125	343
267	125	342
268	125	341
269	125	340
270	126	339
271	126	338
272	126	337
273	126	336
274	127	335
275	127	334
276	127	333
277	127	332
278	128	331
279	128	330
280	128	329
281	128	328
282	129	327
283	129	326
284	129	325
285	129	324
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	313
297	132	312
298	133	312
299	133	311
300	133	310
301	133	309
302	134	308
303	134	307
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	302
310	135	301
311	136	300
312	136	299
313	136	298
314	136	297
315	137	297
316	137	296
317	137	295
318	137	294
319	138	293
320	138	293
321	138	292
322	139	291
323	139	290
324	139	289
325	139	289
326	140	288
327	140	287
328	140	286
329	140	285
330	141	285
331	141	284
332	141	283
333	141	282
334	142	281
335	142	281
336	142	280
337	142	279
338	142	278
339	143	277
340	143	277
341	143	276
342	143	275
343	144	274
344	144	274
345	144	273
346	144	272
347	145	271
348	145	271
349	145	270
350	145	269
351	146	268
352	146	268
353	146	267
354	146	266
355	147	266
356	147	265
357	147	264
358	147	263
359	148	263
360	148	262
361	148	261
362	148	260
363	148	260
364	149	259
365	149	259
366	149	258
367	150	257
368	150	256
369	150	256
370	150	255
371	151	254
372	151	254
373	151	253
374	151	252
375	151	252
376	152	251
377	152	250
378	152	250
379	152	249
380	153	248
381	153	248
382	153	247
383	153	246
384	154	246
385	154	245
386	154	244
387	154	244
388	155	243
389	155	243
390	155	242
391	155	241
392	156	241
393	156	240
394	156	239
395	156	239
396	156	238
397	157	237
398	157	237
399	157	236
400	157	235
401	158	235
402	158	234
403	158	234
404	158	233
405	159	232
406	159	232
407	159	231
408	159	231
409	160	230
410	160	229
411	160	229
412	160	228
413	161	228
414	161	227
415	161	226
416	161	226
417	162	225
418	162	225
419	162	224
420	162	223
421	163	223
422	163	222
423	163	222
424	163	221
425	163	220
426	164	220
427	164	219
428	164	219
429	164	218
430	165	217
431	165	217
432	165	216
433	165	216
434	165	215
435	166	215
436	166	214
437	166	213
438	166	213
439	167	212
440	167	212
441	167	211
442	167	211
443	168	210
444	168	210
445	168	209
446	168	208
447	169	208
448	169	207
449	169	207
450	169	206
451	170	206
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	203
458	171	202
459	172	202
460	172	201
461	172	200
462	172	200
463	173	199
464	173	199
465	173	198
466	173	198
467	174	197
468	174	197
469	174	196
470	174	196
471	175	195
472	175	195
473	175	194
474	175	194
475	176	193
476	176	193
477	176	192
478	176	192
479	176	191
480	177	191
481	177	190
482	177	190
483	178	189
484	178	189
485	178	188
486	178	188
487	179	187
488	179	187
489	179	186
490	179	186
491	180	185
492	180	185
493	180	184
494	180	184
495	180	183
496	181	183
497	181	182
498	181	182
499	181	181
500	182	181
501	182	180
502	182	180
503	182	180
504	183	179
505	183	179
506	183	178
507	183	178
508	184	177
509	184	177
510	184	176
511	184	176
512	185	175
513	185	175
514	185	174
515	185	174
516	186	173
517	186	173
518	186	172
519	186	172
520	187	172
521	187	171
522	187	171
523	187	170
524	188	170
525	188	169
526	188	169
527	188	168
528	189	168
529	189	167
530	189	167
531	189	166
532	189	166
533	190	165
534	190	165
535	190	165
536	190	164
537	191	164
538	191	163
539	191	163
540	191	162
541	192	162
542	192	161
543	192	161
544	192	160
545	193	160
546	193	160
547	193	159
548	193	159
549	194	158
550	194	158
551	194	157
552	194	157
553	195	157
554	195	156
555	195	156
556	195	155
557	196	155
558	196	154
559	196	154
560	196	153
561	196	153
562	197	153
563	197	152
564	197	152
565	197	151
566	198	151
567	198	150
568	198	150
569	198	150
570	199	149
571	199	149
572	199	148
573	199	148
574	200	147
575	200	147
576	200	147
577	200	146
578	201	146
579	201	145
580	201	145
581	201	144
582	202	144
583	202	144
584	202	143
585	202	143
586	203	142
587	203	142
588	203	142
589	203	141
590	204	141
591	204	140
592	204	140
593	204	139
594	205	139
595	205	139
596	205	138
597	205	138
598	206	137
599	206	137
600	206	137
601	206	136
602	206	136
603	207	135
604	207	135
605	207	135
606	207	134
607	208	134
608	208	133
609	208	133
610	208	132
611	209	132
612	209	132
613	209	131
614	209	131
615	210	130
616	210	130
617	210	130
618	210	129
619	211	129
620	211	128
621	211	128
622	211	128
623	211	127
624	212	127
625	212	126
626	212	126
627	212	126
628	213	125
629	213	125
630	213	124
631	213	124
632	214	124
633	214	123
634	214	123
635	214	122
636	215	122
637	215	122
638	215	121
639	215	121
640	216	120
641	216	120
642	216	120
643	216	119
644	217	119
645	217	119
646	217	118
647	217	118
648	217	117
649	218	117
650	218	117
651	218	116
652	218	116
653	219	115
654	219	115
655	219	115
656	219	114
657	220	114
658	220	114
659	220	113
660	220	113
661	221	112
662	221	112
663	221	112
664	221	111
665	222	111
666	222	110
667	222	110
668	222	110
669	222	109
670	223	109
671	223	109
672	223	108
673	223	108
674	224	107
675	224	107
676	224	107
677	224	106
678	225	106
679	225	106
680	225	105
681	225	105
682	226	104
683	226	104
684	226	104
685	226	103
686	227	103
687	227	103
688	227	102
689	227	102
690	228	101
